"","X","logFC","logCPM","PValue","FDR","gene.name"
"9194","KH2013:KH.C5.193",0.172208268499665,4.63853778839929,0.661020651426808,1,"ATP6V0E/1/2"
"9195","KH2013:KH.C2.618",0.102728238627837,9.07854416654606,0.661035632387464,1,"GSPT1/2"
"9196","KH2013:KH.C1.699",-0.12958060824787,5.53911403492367,0.66105202495541,1,"TACC1/2/3"
"9197","KH2013:KH.C7.1",0.734214242573234,-2.12515751074387,0.661125895393115,1,"KH2013:KH.C7.1"
"9198","KH2013:KH.L22.62",-0.295979033560252,2.33304516087996,0.661143184801903,1,"KH2013:KH.L22.62_PARP14/15"
"9199","KH2013:KH.C4.669",0.913765004820835,-2.07107936545637,0.661161216927529,1,"KH2013:KH.C4.669"
"9200","KH2013:KH.S390.7",-0.404300873433182,0.409334617893315,0.6611679291068,1,"RAPH1"
"9201","KH2013:KH.S696.3",0.411590568287993,0.38865770919355,0.661321524262939,1,"KH2013:KH.S696.3_TOPBP1"
"9202","KH2013:KH.C7.499",0.17516734818623,4.69099469391695,0.661333063260825,1,"CEP104"
"9203","KH2013:KH.C2.497",0.168153383998108,4.57534771207901,0.66133894495227,1,"WBP2"
"9204","KH2013:KH.C9.515",0.110355952878389,6.92558612805765,0.661352496279265,1,"VAV/1/2/3"
"9205","KH2013:KH.C5.243",-0.168963690742022,4.59981508615075,0.66135814398666,1,"GADD45GIP1"
"9206","KH2013:KH.S455.2",0.211542439866918,3.84224246429696,0.661366559270662,1,"CG14434"
"9207","KH2013:KH.S489.5",-0.385354108718453,1.82944263394418,0.661384121336709,1,"KH2013:KH.S489.5_MS4A1/15/18/2/3"
"9208","KH2013:KH.S2142.2",0.32315487247706,2.63404641778924,0.661440525322391,1,"KH2013:KH.S2142.2_0610012H03RIK"
"9209","KH2013:KH.L63.16",0.196855623389154,4.02002817464888,0.661461715682574,1,"GSTT1/2/3/4"
"9210","KH2013:KH.L67.1",0.100396318571105,7.06857291618143,0.661503662718485,1,"RFC3/5"
"9211","KH2013:KH.C2.549",-0.111531098332793,5.99137126259555,0.66184917175407,1,"ASL"
"9212","KH2013:KH.C14.1",0.579714992687707,0.0339169272833933,0.661850510593448,1,"CG14693"
"9213","KH2013:KH.C3.492",0.318642416883523,1.85919059324405,0.661910407096498,1,"TEX11"
"9214","KH2013:KH.S1594.1",-1.04234328741655,-1.77694921626748,0.661934497108934,1,"UPP1"
"9215","KH2013:KH.S1015.1",0.987017759018085,-1.7987187098214,0.661960362521508,1,"KH2013:KH.S1015.1"
"9216","KH2013:KH.C9.413",-0.66009161856069,-1.33735570784957,0.661962552746914,1,"KH2013:KH.C9.413"
"9217","KH2013:KH.C7.789",-0.13854984588025,6.59590692397032,0.662171122609767,1,"W02G9.4"
"9218","KH2013:KH.C4.423",-0.343591787320791,3.49600647376008,0.66226789471245,1,"KH2013:KH.C4.423_PLEC"
"9219","KH2013:KH.C11.648",0.288333990390874,2.79896076596412,0.662280895124029,1,"SERPINB6C"
"9220","KH2013:KH.C12.481",0.179972031427287,4.52324385424565,0.662404863747278,1,"KDM5A"
"9221","KH2013:KH.L172.29",-0.112125281340536,5.95371204821698,0.662473350308809,1,"DNAJC21"
"9222","KH2013:KH.L68.2",-0.175321162255295,4.64175613368575,0.662498394640909,1,"KH2013:KH.L68.2"
"9223","KH2013:KH.L17.13",-0.173422024179142,4.74037925143425,0.66256785485101,1,"PLEKHA5/6/7"
"9224","KH2013:KH.C5.371",-0.189208672879188,4.35854140405127,0.662568772933171,1,"CCDC164"
"9225","KH2013:KH.S921.3",-0.957273820284097,-2.08293254473095,0.662636373833949,1,"KH2013:KH.S921.3"
"9226","KH2013:KH.C10.535",-0.155340397582659,4.76817518074487,0.662670330692014,1,"KH2013:KH.C10.535"
"9227","KH2013:KH.L170.11",0.119693175843879,5.69332728747196,0.662765427841363,1,"RNASEH2A"
"9228","KH2013:KH.C5.479",0.119906490007896,5.87695486936423,0.662928276259852,1,"KH2013:KH.C5.479"
"9229","KH2013:KH.C4.207",0.102705830193132,8.67177061254978,0.662948252198717,1,"KH2013:KH.C4.207_STIP1"
"9230","KH2013:KH.C1.139",0.113849007351773,6.33677889778323,0.662978766169891,1,"TSTD1"
"9231","KH2013:KH.L123.6",0.187155076810007,4.51966018787592,0.663035345630744,1,"TTC21B"
"9232","KH2013:KH.C2.1096",0.117856607470294,5.76999522541896,0.663040018961668,1,"ASPSCR1"
